iter	RMSE
0	13.82928271
1	13.73564138
2	13.66122258
3	13.60105605
4	13.54394509
5	13.50879898
6	13.46358921
7	13.43636698
8	13.4110435
9	13.37294288
10	13.34550071
11	13.32891209
12	13.31378745
13	13.2943317
14	13.27865086
15	13.26811959
16	13.25763132
17	13.25067759
18	13.21114647
19	13.19068506
20	13.17129518
21	13.15839606
22	13.14798616
23	13.13499063
24	13.12951849
25	13.09457114
26	13.08364606
27	13.06981471
28	13.06504171
29	13.04830093
30	13.04552369
31	13.03301355
32	13.02434719
33	12.98574175
34	12.95205891
35	12.94069617
36	12.91321838
37	12.90074227
38	12.88087245
39	12.8703027
40	12.85420516
41	12.83924585
42	12.81920875
43	12.80615285
44	12.78287142
45	12.77441327
46	12.76713768
47	12.7595024
48	12.74591405
49	12.72663328
50	12.71280423
51	12.69185726
52	12.68518423
53	12.67903486
54	12.67263497
55	12.65970053
56	12.6542743
57	12.64866321
58	12.63687109
59	12.62160445
60	12.6104139
61	12.60753662
62	12.59846848
63	12.58473253
64	12.5661606
65	12.55706829
66	12.5440399
67	12.53422938
68	12.52352993
69	12.51308312
70	12.50792499
71	12.49635264
72	12.48688754
73	12.47779363
74	12.47560703
75	12.46665931
76	12.4627273
77	12.45908461
78	12.45224744
79	12.43417147
80	12.42418631
81	12.42257706
82	12.41778961
83	12.41260419
84	12.4044675
85	12.39611578
86	12.38224623
87	12.37325269
88	12.36916996
89	12.36003777
90	12.34979794
91	12.34257898
92	12.33473574
93	12.3298294
94	12.316486
95	12.31107487
96	12.30884347
97	12.30301682
98	12.28918345
99	12.28576999
100	12.28024416
101	12.26767492
102	12.25663981
103	12.2492996
104	12.24130268
105	12.22973744
106	12.22556649
107	12.22140264
108	12.21825052
109	12.21164154
110	12.20684997
111	12.20467261
112	12.20098052
113	12.19529212
114	12.18616857
115	12.17735995
116	12.17080105
117	12.16316384
118	12.15736568
119	12.15473546
120	12.14831095
121	12.14653182
122	12.13878009
123	12.13260059
124	12.12738418
125	12.12352675
126	12.11678725
127	12.11467157
128	12.10908232
129	12.1000053
130	12.09415642
131	12.08689563
132	12.08216109
133	12.06853318
134	12.06274383
135	12.05851157
136	12.0505713
137	12.04816644
138	12.04391859
139	12.03302861
140	12.02722877
141	12.0253208
142	12.02242949
143	12.0172247
144	12.00982026
145	12.0058268
146	12.00026642
147	11.9979274
148	11.98752749
149	11.98543211
150	11.98202623
151	11.97926076
152	11.97741935
153	11.97240625
154	11.97005969
155	11.96105893
156	11.9568621
157	11.95155548
158	11.94294121
159	11.93578582
160	11.92769084
161	11.91822999
162	11.91241723
163	11.9034661
164	11.89926931
165	11.89620036
166	11.89145398
167	11.88472544
168	11.88262802
169	11.87353737
170	11.86782346
171	11.86559315
172	11.85893789
173	11.85436878
174	11.85315791
175	11.8492787
176	11.847357
177	11.840824
178	11.83878462
179	11.83404175
180	11.82699056
181	11.8205717
182	11.81578038
183	11.8119657
184	11.81094747
185	11.80633875
186	11.79719876
187	11.79029052
188	11.78716772
189	11.77916501
190	11.77492942
191	11.77060004
192	11.76669744
193	11.76298088
194	11.75567121
195	11.748775
196	11.74543214
197	11.74076556
198	11.73724947
199	11.73608578
200	11.73214428
201	11.72952004
202	11.7264801
203	11.72095932
204	11.7195909
205	11.71807558
206	11.71514026
207	11.71207118
208	11.70818745
209	11.70443569
210	11.70116399
211	11.69753529
212	11.69345238
213	11.68950725
214	11.68493758
215	11.68172862
216	11.67517115
217	11.67006885
218	11.6662619
219	11.66181225
220	11.65607577
221	11.65454679
222	11.65253756
223	11.65150452
224	11.65004979
225	11.6477858
226	11.643641
227	11.63787998
228	11.63387788
229	11.62793706
230	11.62419548
231	11.62337828
232	11.62093292
233	11.61669215
234	11.61567299
235	11.61416071
236	11.60933673
237	11.60320727
238	11.60014215
239	11.59827797
240	11.59335709
241	11.58950706
242	11.58730138
243	11.58461078
244	11.58301133
245	11.57864225
246	11.57554877
247	11.57470114
248	11.57066757
249	11.56690525
250	11.56429398
251	11.56037054
252	11.55974344
253	11.55649891
254	11.55321646
255	11.54899027
256	11.54648354
257	11.54301721
258	11.54167336
259	11.54058751
260	11.53617985
261	11.534895
262	11.53030456
263	11.52668598
264	11.52378546
265	11.521578
266	11.51816213
267	11.51688018
268	11.5146256
269	11.51375023
270	11.51223579
271	11.50997947
272	11.50623704
273	11.50487115
274	11.49949111
275	11.4988806
276	11.49656627
277	11.49551535
278	11.49329294
279	11.49258861
280	11.48987235
281	11.48709702
282	11.4853678
283	11.48174962
284	11.47945872
285	11.4772253
286	11.47532925
287	11.47446756
288	11.47088461
289	11.46812581
290	11.46450912
291	11.46175202
292	11.46074893
293	11.45752264
294	11.45546911
295	11.45344918
296	11.45133834
297	11.44722284
298	11.44596974
299	11.44334705
300	11.44183379
